scenario,register,text
missing a bus,neutral,I arrived at the stop at 8:14 and the bus had left at 8:12. The next one comes in twenty minutes.
missing a bus,understated,"Watched it pull away just as I got there. Not the start to the morning I'd hoped for, but it's fine."
missing a bus,dramatic,"I ran as hard as I could and still watched the doors close in my face, knowing this was the interview I'd waited months for. Everything I'd worked toward was riding on that bus, and it pulled away without me."
missing a bus,melodramatic,"As the bus vanished into the cruel grey distance, I sank to the curb and wept, for surely the universe itself had conspired to ruin me utterly. Is there no mercy left in this wretched, forsaken world?"
a minor work email,neutral,I got an email asking me to resend last week's report in a different format. I'll do it after lunch.
a minor work email,understated,"Another tweak request landed in my inbox. Mildly annoying, but I'll sort it out before the end of the day."
a minor work email,dramatic,"The email came in flagging an error in the figures I'd sent to the client, and my stomach dropped as I realized the mistake was mine. After the year I've had here, I couldn't afford one more slip, and I read it three times before I could breathe."
a minor work email,melodramatic,"One single email, and my entire career lies in smoldering ruins before my very eyes, my reputation shattered beyond all repair! How shall I ever again show my face, branded forever as the wretch who used the wrong font?"
running out of coffee,neutral,I opened the tin and there were no grounds left. I'll pick up more on the way home.
running out of coffee,understated,"Turns out we're out of coffee. Not the morning I had planned, but I'll manage with tea for now."
running out of coffee,dramatic,"I'd barely slept through three nights with the baby, and the one thing holding me together was that first cup, so when I found the tin empty I just stood there at the counter, hollowed out. Some small mercy was supposed to be waiting for me, and it wasn't."
running out of coffee,melodramatic,"The tin was empty, and in that instant all hope drained from my soul like blood from a wound, leaving me a broken husk facing the abyss of an unendurable dawn. How can life go on in a world this bleak, this devoid of all comfort and light?"
a parking ticket,neutral,There was a ticket on my windshield for parking past the two-hour limit. The fine is forty dollars.
a parking ticket,understated,"Found a ticket tucked under the wiper when I got back. Bit of a nuisance, but I suppose I was over the limit."
a parking ticket,dramatic,"I saw the ticket and felt the floor give way, because I'd budgeted this month to the last dollar and there was simply nothing left to cover it. I sat in the driver's seat doing the math over and over, and there was no version where it worked."
a parking ticket,melodramatic,"A ticket! That damnable slip of paper fluttering beneath the wiper like the very hand of doom, come to drag me down into ruin and despair! O cruel fate, why must you persecute me so relentlessly, why must the heavens themselves rain such injustice upon my head?"
a first date,neutral,I met someone for dinner at seven. We talked for about two hours and then went home.
a first date,understated,"Dinner was nicer than I expected, and I found myself hoping he'd text. I'm trying not to make too much of it."
a first date,dramatic,"Halfway through dinner I realized I hadn't felt this seen by anyone in years, and it frightened me how much I wanted to see her again. I walked home replaying every word, afraid to believe something real had just begun."
a first date,melodramatic,"From the instant our eyes met across that table, I knew my entire existence had been merely a prelude to this one sacred, world-altering night. He is my destiny, my soulmate, my reason for drawing breath, and I shall never love another as long as the stars endure!"
a job interview,neutral,"I had an interview at ten this morning. It lasted forty minutes, and they said they'd be in touch next week."
a job interview,understated,"The interview went alright, I think. I'd like the job more than I'm letting on, but there's no sense getting ahead of myself."
a job interview,dramatic,"This was the job that could finally pull my family out of the hole we've been in for two years, and I felt every one of those stakes pressing on my chest as I answered their questions. When I walked out, my hands were still shaking from how badly I needed it to go well."
a job interview,melodramatic,"I marched into that conference room as if to face a firing squad, my whole future dangling by a single fraying thread above an abyss of utter ruin. One wrong word and I would be cast out forever, a broken soul wandering the earth, and I shall carry the agony of those forty minutes to my grave!"
losing a pet,neutral,"Our dog died on Tuesday. He was thirteen, and the vet said it was his heart."
losing a pet,understated,"We put the old dog down this week. The house is quieter than I'd like, but that's how these things go."
losing a pet,dramatic,"He was with me through every hard year of my twenties, and holding him as he slipped away undid something in me I didn't know could break. I keep reaching for his leash by the door, and the silence where he used to be is almost unbearable."
losing a pet,melodramatic,"The light of the entire world was extinguished the moment my precious angel closed his eyes, and the heavens themselves wept openly for our shattered love. I shall drape every mirror in black and never again know a single instant of joy, for my heart was buried in that little grave with him!"
a breakup,neutral,We broke up on Sunday after three years together. I moved my things out the same afternoon.
a breakup,understated,"We decided to end things this weekend. It stings more than I expected, but I'll be fine in a while."
a breakup,dramatic,"Watching the person I'd built my whole future around walk out the door, I felt the floor of my life give way beneath me. Three years of plans and small daily kindnesses are simply gone, and I don't yet know how to be a person without her."
a breakup,melodramatic,"He has torn my still-beating heart from my chest and trampled it into the dust, leaving me a hollow, weeping ghost condemned to wander the ruins of our love forevermore. No mortal has ever suffered as I suffer now, and I am certain this anguish shall finally be the death of me!"
a medical diagnosis,neutral,The test results came back today. The doctor identified the condition and outlined the treatment schedule.
a medical diagnosis,understated,"So, it turns out it's the thing they were worried about. I'm taking it a day at a time, I suppose."
a medical diagnosis,dramatic,"When she said the word, the whole room went quiet and I realized nothing about my life would be measured the same way again. I have a fight ahead of me, and I intend to be here for it."
a medical diagnosis,melodramatic,"The instant that cursed word left her lips, my entire universe shattered into a thousand irreparable pieces and the very heavens wept for me! How could fate be so monstrously, unspeakably cruel to one so undeserving?"
a graduation,neutral,The ceremony was held on Saturday morning. I received my diploma and the program concluded around noon.
a graduation,understated,"Walked across the stage, got the piece of paper. It was nice to have the family there, honestly."
a graduation,dramatic,"Four years of late nights and quiet doubt led to that single walk across the stage, and when they read my name I felt every sacrifice my parents ever made standing right beside me. I earned this, and I will never forget it."
a graduation,melodramatic,"As I ascended that hallowed stage, choirs of angels surely sang and the sun itself bowed before the blinding radiance of my triumph! Never in the entire history of humankind has a soul been so gloriously, tearfully vindicated!"
moving to a new city,neutral,I'm relocating next month for the new job. The lease starts on the first and the movers are booked.
moving to a new city,understated,"I'll be in a different city by spring. It'll be a bit of an adjustment, but I think it'll be fine."
moving to a new city,dramatic,"I'm leaving behind every street that ever knew my name to start over somewhere no one does, and the thought of it terrifies and thrills me in equal measure. This is the bravest thing I have ever done."
moving to a new city,melodramatic,"To abandon this beloved city is to tear my very soul from my body and cast it weeping into the howling void of the unknown! How shall I ever survive, exiled and forsaken, in that desolate land of strangers?"
